At time 0, Job 1 arrives.
At time 197, Job 40 arrives.
At time 198, Job 39 arrives.
At time 199, Job 7 finished I/O at Disk 2.
At time 200, Job 37 arrives.
At time 207, Job 41 arrives.
At time 208, Job 45 arrives.
At time 210, Job 43 arrives.
At time 211, Job 42 arrives.
At time 212, Job 9 finishes at CPU.
At time 213, Job 44 arrives.
At time 213, Job 47 arrives.
At time 214, Job 7 arrives.
At time 218, Job 46 arrives.
At time 218, Job 49 arrives.
At time 222, Job 51 arrives.
At time 223, Job 9 arrives at Disk.
At time 223, Job 53 arrives.
At time 225, Job 48 arrives.
At time 225, Job 52 arrives.
At time 225, Job 54 arrives.
At time 227, Job 11 finishes at CPU.
At time 228, Job 55 arrives.
At time 229, Job 50 arrives.
At time 230, Job 56 arrives.
At time 235, Job 58 arrives.
At time 236, Job 57 arrives.
At time 236, Job 60 arrives.
At time 237, Job 8 finished I/O at Disk 2.
At time 238, Job 62 arrives.
At time 239, Job 59 arrives.
At time 239, Job 61 arrives.
At time 239, Job 10 finishes at CPU.
At time 239, Job 10 exits.
At time 242, Job 63 arrives.
At time 242, Job 64 arrives.
At time 245, Job 11 arrives at Disk.
At time 247, Job 8 arrives.
At time 248, Job 68 arrives.
At time 249, Job 66 arrives.
At time 249, Job 70 arrives.
At time 252, Job 71 arrives.
At time 253, Job 65 arrives.
At time 254, Job 67 arrives.
At time 254, Job 69 arrives.
At time 257, Job 72 arrives.
At time 258, Job 12 finishes at CPU.
At time 261, Job 74 arrives.
At time 261, Job 76 arrives.
At time 264, Job 73 arrives.
At time 264, Job 77 arrives.
At time 265, Job 75 arrives.
At time 272, Job 78 arrives.
At time 272, Job 79 arrives.
At time 272, Job 83 arrives.
At time 273, Job 81 arrives.
At time 273, Job 13 finishes at CPU.
At time 274, Job 80 arrives.
At time 274, Job 82 arrives.
At time 276, Job 84 arrives.
At time 276, Job 86 arrives.
At time 277, Job 12 arrives at Disk.
At time 280, Job 85 arrives.
At time 282, Job 88 arrives.
At time 286, Job 87 arrives.
At time 286, Job 91 arrives.
At time 287, Job 13 arrives at Disk.
At time 287, Job 14 finishes at CPU.
At time 290, Job 92 arrives.
At time 292, Job 89 arrives.
At time 293, Job 90 arrives.
At time 294, Job 93 arrives.
At time 294, Job 95 arrives.
At time 295, Job 94 arrives.
At time 297, Job 97 arrives.
At time 299, Job 98 arrives.
At time 301, Job 14 arrives at Disk.
At time 301, Job 99 arrives.
At time 302, Job 96 arrives.
At time 307, Job 9 finished I/O at Disk 2.
At time 307, Job 4 finishes at CPU.
At time 307, Job 4 exits.
At time 307, Job 104 arrives.
At time 309, Job 102 arrives.
At time 310, Job 100 arrives.
At time 310, Job 101 arrives.
At time 312, Job 105 arrives.
At time 313, Job 106 arrives.
At time 313, Job 108 arrives.
At time 314, Job 103 arrives.
At time 315, Job 107 arrives.
At time 317, Job 109 arrives.
At time 321, Job 111 arrives.
At time 322, Job 15 finishes at CPU.
At time 323, Job 115 arrives.
At time 324, Job 113 arrives.
At time 325, Job 9 arrives.
At time 326, Job 116 arrives.
At time 327, Job 114 arrives.
At time 329, Job 110 arrives.
At time 330, Job 112 arrives.
At time 331, Job 117 arrives.
At time 333, Job 119 arrives.
At time 335, Job 118 arrives.
At time 335, Job 16 finishes at CPU.
At time 337, Job 15 arrives at Disk.
At time 338, Job 124 arrives.
At time 339, Job 120 arrives.
At time 340, Job 122 arrives.
At time 340, Job 123 arrives.
At time 341, Job 125 arrives.
At time 342, Job 121 arrives.
At time 343, Job 128 arrives.
At time 345, Job 127 arrives.
At time 347, Job 126 arrives.
At time 347, Job 129 arrives.
At time 347, Job 16 arrives at Disk.
At time 349, Job 1 finishes at CPU.
At time 351, Job 132 arrives.
At time 354, Job 133 arrives.
At time 354, Job 135 arrives.
At time 357, Job 130 arrives.
At time 357, Job 134 arrives.
At time 359, Job 131 arrives.
At time 359, Job 136 arrives.
At time 360, Job 139 arrives.
At time 361, Job 137 arrives.
At time 361, Job 138 arrives.
At time 361, Job 1 arrives at Disk.
At time 362, Job 12 finished I/O at Disk 2.
At time 364, Job 142 arrives.
At time 365, Job 19 finishes at CPU.
At time 365, Job 19 exits.
At time 367, Job 140 arrives.
At time 368, Job 143 arrives.
At time 371, Job 144 arrives.
At time 373, Job 146 arrives.
At time 374, Job 141 arrives.
At time 375, Job 148 arrives.
At time 376, Job 145 arrives.
At time 376, Job 147 arrives.
At time 376, Job 12 arrives.
At time 380, Job 149 arrives.
At time 380, Job 151 arrives.
At time 382, Job 153 arrives.
At time 383, Job 150 arrives.
At time 385, Job 18 finishes at CPU.
At time 385, Job 152 arrives.
At time 386, Job 155 arrives.
At time 388, Job 154 arrives.
At time 388, Job 159 arrives.
At time 391, Job 156 arrives.
At time 392, Job 158 arrives.
At time 393, Job 157 arrives.
At time 394, Job 160 arrives.
At time 394, Job 162 arrives.
At time 396, Job 163 arrives.
At time 398, Job 161 arrives.
At time 399, Job 165 arrives.
At time 400, Job 17 finishes at CPU.
At time 400, Job 17 exits.
At time 400, Job 166 arrives.
At time 402, Job 18 arrives at Disk.
At time 402, Job 164 arrives.
At time 402, Job 169 arrives.
At time 404, Job 167 arrives.
At time 406, Job 170 arrives.
At time 410, Job 168 arrives.
At time 410, Job 172 arrives.
At time 411, Job 176 arrives.
At time 412, Job 173 arrives.
At time 412, Job 174 arrives.
At time 414, Job 171 arrives.
At time 414, Job 175 arrives.
At time 417, Job 20 finishes at CPU.
At time 417, Job 177 arrives.
At time 419, Job 180 arrives.
At time 421, Job 178 arrives.
At time 423, Job 185 arrives.
At time 424, Job 179 arrives.
At time 426, Job 182 arrives.
At time 427, Job 20 arrives at Disk.
At time 428, Job 181 arrives.
At time 428, Job 186 arrives.
At time 429, Job 183 arrives.
At time 429, Job 184 arrives.
At time 431, Job 21 finishes at CPU.
At time 431, Job 21 exits.
At time 432, Job 187 arrives.
At time 432, Job 189 arrives.
At time 433, Job 188 arrives.
At time 436, Job 190 arrives.
At time 436, Job 192 arrives.
At time 436, Job 193 arrives.
At time 438, Job 194 arrives.
At time 439, Job 191 arrives.
At time 439, Job 196 arrives.
At time 442, Job 5 finishes at CPU.
At time 443, Job 199 arrives.
At time 443, Job 200 arrives.
At time 446, Job 195 arrives.
At time 447, Job 202 arrives.
At time 448, Job 197 arrives.
At time 448, Job 198 arrives.
At time 448, Job 203 arrives.
At time 449, Job 206 arrives.
At time 452, Job 205 arrives.
At time 453, Job 204 arrives.
At time 454, Job 201 arrives.
At time 454, Job 23 finishes at CPU.
At time 454, Job 23 exits.
At time 457, Job 5 arrives at Disk.
At time 458, Job 211 arrives.
At time 459, Job 209 arrives.
At time 461, Job 207 arrives.
At time 461, Job 213 arrives.
At time 463, Job 208 arrives.
At time 465, Job 210 arrives.
At time 465, Job 212 arrives.
At time 469, Job 214 arrives.
At time 470, Job 217 arrives.
At time 470, Job 219 arrives.
At time 471, Job 215 arrives.
At time 471, Job 13 finished I/O at Disk 2.
At time 472, Job 216 arrives.
At time 473, Job 222 arrives.
At time 475, Job 25 finishes at CPU.
At time 475, Job 220 arrives.
At time 476, Job 224 arrives.
At time 477, Job 223 arrives.
At time 478, Job 218 arrives.
At time 481, Job 221 arrives.
At time 483, Job 225 arrives.
At time 486, Job 227 arrives.
At time 488, Job 233 arrives.
At time 488, Job 234 arrives.
At time 489, Job 25 arrives at Disk.
At time 490, Job 226 arrives.
At time 490, Job 13 arrives.
At time 490, Job 229 arrives.
At time 490, Job 230 arrives.
At time 490, Job 232 arrives.
At time 491, Job 228 arrives.
At time 491, Job 231 arrives.
At time 492, Job 235 arrives.
At time 495, Job 22 finishes at CPU.
At time 499, Job 236 arrives.
At time 499, Job 237 arrives.
At time 500, Job 240 arrives.
At time 501, Job 239 arrives.
At time 502, Job 241 arrives.
At time 502, Job 244 arrives.
At time 504, Job 238 arrives.
At time 504, Job 242 arrives.
At time 504, Job 243 arrives.
At time 505, Job 247 arrives.
At time 508, Job 22 arrives at Disk.
At time 509, Job 245 arrives.
At time 509, Job 248 arrives.
At time 510, Job 15 finished I/O at Disk 2.
At time 510, Job 246 arrives.
At time 511, Job 24 finishes at CPU.
At time 515, Job 249 arrives.
At time 516, Job 251 arrives.
At time 516, Job 255 arrives.
At time 517, Job 257 arrives.
At time 518, Job 252 arrives.
At time 519, Job 250 arrives.
At time 519, Job 253 arrives.
At time 519, Job 254 arrives.
At time 519, Job 256 arrives.
At time 522, Job 259 arrives.
At time 525, Job 258 arrives.
At time 526, Job 263 arrives.
At time 528, Job 260 arrives.
At time 529, Job 15 arrives.
At time 530, Job 24 arrives at Disk.
At time 531, Job 26 finishes at CPU.
At time 532, Job 265 arrives.
At time 533, Job 261 arrives.
At time 533, Job 264 arrives.
At time 533, Job 268 arrives.
At time 535, Job 270 arrives.
At time 536, Job 262 arrives.
At time 537, Job 267 arrives.
At time 537, Job 269 arrives.
At time 538, Job 266 arrives.
At time 538, Job 273 arrives.
At time 542, Job 272 arrives.
At time 544, Job 26 arrives at Disk.
At time 545, Job 271 arrives.
At time 546, Job 274 arrives.
At time 547, Job 275 arrives.
At time 547, Job 279 arrives.
At time 548, Job 276 arrives.
At time 548, Job 281 arrives.
At time 550, Job 27 finishes at CPU.
At time 550, Job 27 exits.
At time 550, Job 278 arrives.
At time 552, Job 282 arrives.
At time 553, Job 277 arrives.
At time 554, Job 280 arrives.
At time 557, Job 283 arrives.
At time 557, Job 284 arrives.
At time 557, Job 285 arrives.
At time 559, Job 16 finished I/O at Disk 2.
At time 560, Job 287 arrives.
At time 560, Job 28 finishes at CPU.
At time 562, Job 286 arrives.
At time 562, Job 288 arrives.
At time 563, Job 293 arrives.
At time 565, Job 292 arrives.
At time 567, Job 289 arrives.
At time 567, Job 291 arrives.
At time 568, Job 290 arrives.
At time 568, Job 294 arrives.
At time 568, Job 295 arrives.
At time 569, Job 296 arrives.
At time 570, Job 298 arrives.
At time 572, Job 300 arrives.
At time 573, Job 299 arrives.
At time 574, Job 302 arrives.
At time 575, Job 301 arrives.
At time 576, Job 28 arrives at Disk.
At time 576, Job 303 arrives.
At time 577, Job 297 arrives.
At time 577, Job 305 arrives.
At time 578, Job 29 finishes at CPU.
At time 578, Job 307 arrives.
At time 578, Job 308 arrives.
At time 579, Job 16 arrives.
At time 579, Job 304 arrives.
At time 581, Job 306 arrives.
At time 582, Job 309 arrives.
At time 585, Job 312 arrives.
At time 586, Job 311 arrives.
At time 589, Job 315 arrives.
At time 589, Job 29 arrives at Disk.
At time 590, Job 310 arrives.
At time 591, Job 313 arrives.
At time 591, Job 314 arrives.
At time 592, Job 316 arrives.
At time 592, Job 30 finishes at CPU.
At time 593, Job 317 arrives.
At time 593, Job 319 arrives.
At time 593, Job 321 arrives.
At time 594, Job 318 arrives.
At time 595, Job 322 arrives.
At time 595, Job 323 arrives.
At time 596, Job 325 arrives.
At time 597, Job 1 finished I/O at Disk 2.
At time 599, Job 320 arrives.
At time 599, Job 324 arrives.
At time 602, Job 330 arrives.
At time 602, Job 30 arrives at Disk.
At time 603, Job 326 arrives.
At time 603, Job 328 arrives.
At time 604, Job 327 arrives.
At time 604, Job 329 arrives.
At time 604, Job 332 arrives.
At time 606, Job 31 finishes at CPU.
At time 606, Job 335 arrives.
At time 606, Job 337 arrives.
At time 607, Job 336 arrives.
At time 610, Job 334 arrives.
At time 612, Job 331 arrives.
At time 612, Job 333 arrives.
At time 613, Job 342 arrives.
At time 614, Job 339 arrives.
At time 615, Job 343 arrives.
At time 616, Job 341 arrives.
At time 617, Job 1 arrives.
At time 618, Job 33 finishes at CPU.
At time 619, Job 338 arrives.
At time 621, Job 340 arrives.
At time 622, Job 31 arrives at Disk.
At time 622, Job 347 arrives.
At time 622, Job 349 arrives.
At time 623, Job 345 arrives.
At time 623, Job 346 arrives.
At time 624, Job 344 arrives.
At time 625, Job 348 arrives.
At time 625, Job 350 arrives.
At time 625, Job 352 arrives.
At time 628, Job 353 arrives.
At time 629, Job 351 arrives.
At time 629, Job 357 arrives.
At time 631, Job 354 arrives.
At time 633, Job 355 arrives.
At time 634, Job 356 arrives.
At time 634, Job 32 finishes at CPU.
At time 634, Job 358 arrives.
At time 634, Job 362 arrives.
At time 636, Job 33 arrives at Disk.
At time 636, Job 359 arrives.
At time 637, Job 361 arrives.
At time 638, Job 360 arrives.
At time 639, Job 363 arrives.
At time 641, Job 364 arrives.
At time 641, Job 367 arrives.
At time 643, Job 365 arrives.
At time 644, Job 366 arrives.
At time 644, Job 373 arrives.
At time 646, Job 368 arrives.
At time 646, Job 369 arrives.
At time 646, Job 371 arrives.
At time 649, Job 32 arrives at Disk.
At time 649, Job 378 arrives.
At time 650, Job 372 arrives.
At time 650, Job 374 arrives.
At time 651, Job 370 arrives.
At time 651, Job 6 finishes at CPU.
At time 651, Job 377 arrives.
At time 652, Job 5 finished I/O at Disk 2.
At time 652, Job 375 arrives.
At time 655, Job 376 arrives.
At time 655, Job 382 arrives.
At time 658, Job 381 arrives.
At time 659, Job 380 arrives.
At time 660, Job 379 arrives.
At time 661, Job 384 arrives.
At time 663, Job 391 arrives.
At time 664, Job 383 arrives.
At time 664, Job 388 arrives.
At time 664, Job 5 arrives.
At time 665, Job 385 arrives.
At time 665, Job 6 arrives at Disk.
At time 665, Job 392 arrives.
At time 666, Job 386 arrives.
At time 666, Job 389 arrives.
At time 668, Job 387 arrives.
At time 668, Job 35 finishes at CPU.
At time 669, Job 390 arrives.
At time 670, Job 397 arrives.
At time 672, Job 394 arrives.
At time 672, Job 398 arrives.
At time 673, Job 393 arrives.
At time 673, Job 396 arrives.
At time 674, Job 395 arrives.
At time 675, Job 400 arrives.
At time 676, Job 403 arrives.
At time 678, Job 405 arrives.
At time 679, Job 408 arrives.
At time 681, Job 399 arrives.
At time 681, Job 407 arrives.
At time 681, Job 35 arrives at Disk.
At time 682, Job 402 arrives.
At time 682, Job 406 arrives.
At time 683, Job 401 arrives.
At time 685, Job 404 arrives.
At time 685, Job 409 arrives.
At time 685, Job 413 arrives.
At time 686, Job 34 finishes at CPU.
At time 686, Job 34 exits.
At time 687, Job 410 arrives.
At time 687, Job 414 arrives.
At time 688, Job 412 arrives.
At time 689, Job 415 arrives.
At time 690, Job 418 arrives.
At time 691, Job 411 arrives.
At time 692, Job 417 arrives.
At time 694, Job 420 arrives.
At time 694, Job 422 arrives.
At time 694, Job 423 arrives.
At time 695, Job 25 finished I/O at Disk 2.
At time 695, Job 416 arrives.
At time 695, Job 426 arrives.
At time 697, Job 419 arrives.
At time 700, Job 424 arrives.
At time 700, Job 430 arrives.
At time 702, Job 421 arrives.
At time 704, Job 425 arrives.
At time 704, Job 36 finishes at CPU.
At time 704, Job 429 arrives.
At time 705, Job 437 arrives.
At time 706, Job 427 arrives.
At time 706, Job 428 arrives.
At time 706, Job 432 arrives.
At time 706, Job 25 arrives.
At time 707, Job 438 arrives.
At time 709, Job 431 arrives.
At time 709, Job 433 arrives.
At time 709, Job 436 arrives.
At time 709, Job 439 arrives.
At time 711, Job 435 arrives.
At time 711, Job 440 arrives.
At time 712, Job 441 arrives.
At time 714, Job 434 arrives.
At time 714, Job 36 arrives at Disk.
At time 714, Job 38 finishes at CPU.
At time 717, Job 448 arrives.
At time 718, Job 446 arrives.
At time 719, Job 449 arrives.
At time 720, Job 454 arrives.
At time 722, Job 442 arrives.
At time 722, Job 444 arrives.
At time 722, Job 447 arrives.
At time 723, Job 443 arrives.
At time 723, Job 455 arrives.
At time 724, Job 445 arrives.
At time 724, Job 452 arrives.
At time 724, Job 458 arrives.
At time 725, Job 453 arrives.
At time 726, Job 450 arrives.
At time 726, Job 451 arrives.
At time 728, Job 40 finishes at CPU.
At time 729, Job 459 arrives.
At time 729, Job 461 arrives.
At time 730, Job 38 arrives at Disk.
At time 731, Job 456 arrives.
At time 732, Job 457 arrives.
At time 732, Job 463 arrives.
At time 734, Job 467 arrives.
At time 735, Job 469 arrives.
At time 736, Job 470 arrives.
At time 736, Job 473 arrives.
At time 737, Job 460 arrives.
At time 738, Job 462 arrives.
At time 738, Job 465 arrives.
At time 738, Job 468 arrives.
At time 740, Job 464 arrives.
At time 740, Job 466 arrives.
At time 741, Job 39 finishes at CPU.
At time 741, Job 39 exits.
At time 741, Job 475 arrives.
At time 742, Job 472 arrives.
At time 744, Job 476 arrives.
At time 745, Job 471 arrives.
At time 745, Job 479 arrives.
At time 746, Job 480 arrives.
At time 747, Job 40 arrives at Disk.
At time 747, Job 474 arrives.
At time 748, Job 478 arrives.
At time 749, Job 477 arrives.
At time 749, Job 482 arrives.
At time 751, Job 484 arrives.
At time 752, Job 481 arrives.
At time 752, Job 489 arrives.
At time 753, Job 22 finished I/O at Disk 2.
At time 753, Job 483 arrives.
At time 754, Job 37 finishes at CPU.
At time 755, Job 488 arrives.
At time 756, Job 486 arrives.
At time 756, Job 487 arrives.
At time 756, Job 493 arrives.
At time 757, Job 485 arrives.
At time 757, Job 492 arrives.
At time 758, Job 490 arrives.
At time 759, Job 498 arrives.
At time 760, Job 494 arrives.
At time 761, Job 491 arrives.
At time 761, Job 495 arrives.
At time 762, Job 501 arrives.
At time 763, Job 496 arrives.
At time 764, Job 22 arrives.
At time 767, Job 497 arrives.
At time 767, Job 503 arrives.
At time 767, Job 41 finishes at CPU.
At time 767, Job 41 exits.
At time 769, Job 502 arrives.
At time 769, Job 37 arrives at Disk.
At time 769, Job 508 arrives.
At time 770, Job 499 arrives.
At time 770, Job 500 arrives.
At time 771, Job 505 arrives.
At time 772, Job 510 arrives.
At time 772, Job 512 arrives.
At time 773, Job 504 arrives.
At time 773, Job 511 arrives.
At time 773, Job 514 arrives.
At time 775, Job 506 arrives.
At time 775, Job 507 arrives.
At time 776, Job 509 arrives.
At time 778, Job 515 arrives.
At time 778, Job 516 arrives.
At time 781, Job 513 arrives.
At time 781, Job 519 arrives.
At time 782, Job 522 arrives.
At time 783, Job 525 arrives.
At time 784, Job 45 finishes at CPU.
At time 784, Job 45 exits.
At time 785, Job 517 arrives.
At time 785, Job 520 arrives.
At time 786, Job 518 arrives.
At time 786, Job 521 arrives.
At time 788, Job 523 arrives.
At time 788, Job 524 arrives.
At time 789, Job 531 arrives.
At time 790, Job 527 arrives.
At time 790, Job 530 arrives.
At time 791, Job 535 arrives.
At time 792, Job 526 arrives.
At time 793, Job 528 arrives.
At time 794, Job 529 arrives.
At time 794, Job 536 arrives.
At time 795, Job 537 arrives.
At time 796, Job 532 arrives.
At time 798, Job 533 arrives.
At time 798, Job 534 arrives.
At time 799, Job 539 arrives.
At time 799, Job 543 arrives.
At time 799, Job 544 arrives.
At time 800, Job 541 arrives.
At time 801, Job 538 arrives.
At time 801, Job 542 arrives.
At time 802, Job 540 arrives.
At time 805, Job 43 finishes at CPU.
At time 805, Job 545 arrives.
At time 805, Job 550 arrives.
At time 805, Job 551 arrives.
At time 806, Job 546 arrives.
At time 806, Job 549 arrives.
At time 810, Job 554 arrives.
At time 810, Job 555 arrives.
At time 811, Job 547 arrives.
At time 811, Job 548 arrives.
At time 813, Job 553 arrives.
At time 814, Job 557 arrives.
At time 815, Job 552 arrives.
At time 816, Job 556 arrives.
At time 816, Job 42 finishes at CPU.
At time 817, Job 559 arrives.
At time 817, Job 561 arrives.
At time 818, Job 43 arrives at Disk.
At time 818, Job 564 arrives.
At time 819, Job 558 arrives.
At time 819, Job 566 arrives.
At time 819, Job 567 arrives.
At time 820, Job 560 arrives.
At time 820, Job 562 arrives.
At time 821, Job 570 arrives.
At time 823, Job 563 arrives.
At time 824, Job 568 arrives.
At time 825, Job 565 arrives.
At time 825, Job 573 arrives.
At time 826, Job 569 arrives.
At time 826, Job 572 arrives.
At time 827, Job 575 arrives.
At time 828, Job 26 finished I/O at Disk 2.
At time 829, Job 571 arrives.
At time 830, Job 576 arrives.
At time 830, Job 577 arrives.
At time 830, Job 581 arrives.
At time 832, Job 44 finishes at CPU.
At time 832, Job 44 exits.
At time 834, Job 574 arrives.
At time 834, Job 585 arrives.
At time 835, Job 578 arrives.
At time 835, Job 582 arrives.
At time 836, Job 42 arrives at Disk.
At time 837, Job 579 arrives.
At time 837, Job 580 arrives.
At time 838, Job 583 arrives.
At time 838, Job 26 arrives.
At time 839, Job 584 arrives.
At time 839, Job 592 arrives.
At time 840, Job 586 arrives.
At time 840, Job 595 arrives.
At time 841, Job 587 arrives.
At time 841, Job 591 arrives.
At time 842, Job 594 arrives.
At time 843, Job 588 arrives.
At time 844, Job 596 arrives.
At time 845, Job 589 arrives.
At time 845, Job 590 arrives.
At time 846, Job 593 arrives.
At time 846, Job 597 arrives.
At time 848, Job 600 arrives.
At time 848, Job 601 arrives.
At time 849, Job 603 arrives.
At time 850, Job 604 arrives.
At time 852, Job 598 arrives.
At time 853, Job 47 finishes at CPU.
At time 853, Job 607 arrives.
At time 855, Job 599 arrives.
At time 855, Job 28 finished I/O at Disk 2.
At time 856, Job 605 arrives.
At time 856, Job 612 arrives.
At time 857, Job 602 arrives.
At time 857, Job 610 arrives.
At time 858, Job 609 arrives.
At time 859, Job 619 arrives.
At time 860, Job 606 arrives.
At time 860, Job 608 arrives.
At time 861, Job 613 arrives.
At time 862, Job 614 arrives.
At time 863, Job 611 arrives.
At time 863, Job 616 arrives.
At time 863, Job 618 arrives.
At time 863, Job 7 finishes at CPU.
At time 866, Job 615 arrives.
At time 866, Job 620 arrives.
At time 866, Job 621 arrives.
At time 867, Job 28 arrives.
At time 868, Job 617 arrives.
At time 868, Job 622 arrives.
At time 868, Job 623 arrives.
At time 869, Job 624 arrives.
At time 870, Job 47 arrives at Disk.
At time 870, Job 625 arrives.
At time 870, Job 626 arrives.
At time 871, Job 628 arrives.
At time 871, Job 630 arrives.
At time 872, Job 627 arrives.
At time 873, Job 633 arrives.
At time 874, Job 634 arrives.
At time 877, Job 640 arrives.
At time 878, Job 629 arrives.
At time 878, Job 46 finishes at CPU.
At time 879, Job 631 arrives.
At time 879, Job 636 arrives.
At time 880, Job 635 arrives.
At time 880, Job 637 arrives.
At time 880, Job 638 arrives.
At time 881, Job 632 arrives.
At time 883, Job 7 arrives at Disk.
At time 883, Job 645 arrives.
At time 884, Job 642 arrives.
At time 884, Job 646 arrives.
At time 886, Job 639 arrives.
At time 886, Job 641 arrives.
At time 886, Job 643 arrives.
At time 886, Job 651 arrives.
At time 887, Job 644 arrives.
At time 887, Job 648 arrives.
At time 889, Job 647 arrives.
At time 889, Job 650 arrives.
At time 891, Job 649 arrives.
At time 891, Job 656 arrives.
At time 893, Job 659 arrives.
At time 894, Job 653 arrives.
At time 894, Job 654 arrives.
At time 895, Job 29 finished I/O at Disk 2.
At time 895, Job 660 arrives.
At time 896, Job 652 arrives.
At time 896, Job 655 arrives.
At time 896, Job 658 arrives.
At time 897, Job 657 arrives.
At time 897, Job 665 arrives.
At time 898, Job 46 arrives at Disk.
At time 898, Job 49 finishes at CPU.
At time 898, Job 49 exits.
At time 899, Job 661 arrives.
At time 900, Job 670 arrives.
At time 902, Job 664 arrives.
At time 903, Job 662 arrives.
At time 903, Job 667 arrives.
At time 903, Job 672 arrives.
At time 904, Job 668 arrives.
At time 904, Job 674 arrives.
At time 905, Job 666 arrives.
At time 905, Job 671 arrives.
At time 905, Job 673 arrives.
At time 905, Job 675 arrives.
At time 906, Job 663 arrives.
At time 907, Job 669 arrives.
At time 908, Job 679 arrives.
At time 910, Job 680 arrives.
At time 911, Job 678 arrives.
At time 912, Job 676 arrives.
At time 912, Job 684 arrives.
At time 913, Job 682 arrives.
At time 914, Job 29 arrives.
At time 914, Job 677 arrives.
At time 914, Job 681 arrives.
At time 915, Job 683 arrives.
At time 915, Job 687 arrives.
At time 917, Job 51 finishes at CPU.
At time 917, Job 51 exits.
At time 917, Job 691 arrives.
At time 920, Job 689 arrives.
At time 920, Job 692 arrives.
At time 920, Job 695 arrives.
At time 920, Job 696 arrives.
At time 921, Job 685 arrives.
At time 921, Job 686 arrives.
At time 921, Job 688 arrives.
At time 924, Job 690 arrives.
At time 924, Job 693 arrives.
At time 924, Job 697 arrives.
At time 924, Job 701 arrives.
At time 924, Job 704 arrives.
At time 926, Job 694 arrives.
At time 927, Job 698 arrives.
At time 927, Job 705 arrives.
At time 928, Job 700 arrives.
At time 930, Job 699 arrives.
At time 930, Job 702 arrives.
At time 931, Job 703 arrives.
At time 931, Job 707 arrives.
At time 931, Job 709 arrives.
At time 932, Job 706 arrives.
At time 934, Job 715 arrives.
At time 935, Job 53 finishes at CPU.
At time 935, Job 714 arrives.
At time 936, Job 719 arrives.
At time 936, Job 720 arrives.
At time 937, Job 710 arrives.
At time 937, Job 722 arrives.
At time 938, Job 708 arrives.
At time 938, Job 712 arrives.
At time 938, Job 713 arrives.
At time 939, Job 711 arrives.
At time 940, Job 717 arrives.
At time 941, Job 716 arrives.
At time 942, Job 718 arrives.
At time 942, Job 721 arrives.
At time 943, Job 728 arrives.
At time 943, Job 729 arrives.
At time 944, Job 723 arrives.
At time 945, Job 724 arrives.
At time 946, Job 725 arrives.
At time 946, Job 732 arrives.
At time 947, Job 726 arrives.
At time 947, Job 53 arrives at Disk.
At time 947, Job 48 finishes at CPU.
At time 947, Job 48 exits.
At time 948, Job 727 arrives.
At time 948, Job 730 arrives.
At time 949, Job 731 arrives.
At time 949, Job 737 arrives.
At time 949, Job 739 arrives.
At time 950, Job 734 arrives.
At time 950, Job 735 arrives.
At time 950, Job 736 arrives.
At time 950, Job 738 arrives.
At time 951, Job 741 arrives.
At time 953, Job 745 arrives.
